,4s,6s,Balls,date,dis,grnd,inn,mins,pos,runs,sr
148,2,0,46,2 Nov 2009,caught,Mohali,2,58,5,26,56.52
149,0,0,15,5 Nov 2009,caught,Hyderabad (Deccan),2,17,5,6,40.00
150,1,0,77,8 Nov 2009,lbw,Guwahati,1,97,5,24,31.16
151,7,3,53,15 Dec 2009,caught,Rajkot,1,78,3,72,135.84
152,8,2,111,18 Dec 2009,caught,Nagpur,1,135,5,107,96.39
153,-,-,-,27 Dec 2009,-,Delhi,-,-,-,TDNB,-
154,3,0,70,5 Jan 2010,caught,Dhaka,1,85,5,37,52.85
155,9,0,107,7 Jan 2010,not out,Dhaka,2,167,5,101*,94.39
156,-,-,-,10 Jan 2010,-,Dhaka,2,-,-,DNB,-
157,3,0,35,11 Jan 2010,caught,Dhaka,2,53,5,32,91.42
158,3,0,19,13 Jan 2010,caught,Dhaka,1,23,5,14,73.68
159,2,0,29,21 Feb 2010,caught,Jaipur,1,-,4,26,89.65
160,7,4,35,24 Feb 2010,not out,Gwalior,1,37,5,68*,194.28
161,0,1,7,27 Feb 2010,caught,Ahmedabad,2,-,5,9,128.57
162,3,1,45,16 Jun 2010,not out,Dambulla,2,63,5,38*,84.44
163,2,1,71,19 Jun 2010,bowled,Dambulla,2,91,4,56,78.87
164,6,0,53,22 Jun 2010,run out,Dambulla,1,59,6,41,77.35
165,2,1,50,24 Jun 2010,caught,Dambulla,1,51,4,38,76.00
166,0,0,9,10 Aug 2010,run out,Dambulla,2,14,6,2,22.22
167,2,0,38,16 Aug 2010,not out,Dambulla,2,56,6,23*,60.52
168,2,0,16,22 Aug 2010,caught,Dambulla,1,-,6,10,62.50
169,3,0,75,25 Aug 2010,caught,Dambulla,1,96,6,38,50.66
170,5,1,100,28 Aug 2010,bowled,Dambulla,2,140,5,67,67.00
171,0,0,1,20 Oct 2010,bowled,Visakhapatnam,2,3,6,0,0.00
172,1,0,35,12 Jan 2011,run out,Durban,2,48,6,25,71.42
173,1,0,61,15 Jan 2011,bowled,Johannesburg,1,101,5,38,62.29
174,1,0,12,18 Jan 2011,caught,Cape Town,2,15,5,5,41.66
175,0,0,8,21 Jan 2011,caught,Port Elizabeth,2,9,6,2,25.00
176,1,0,10,23 Jan 2011,caught,Centurion,2,11,4,5,50.00
177,-,-,-,19 Feb 2011,-,Dhaka,1,-,-,DNB,-
178,3,1,25,27 Feb 2011,caught,Bangalore,1,38,5,31,124.00
179,2,0,50,6 Mar 2011,lbw,Bangalore,2,68,6,34,68.00
180,2,0,40,9 Mar 2011,not out,Delhi,2,56,7,19*,47.50
181,0,0,21,12 Mar 2011,not out,Nagpur,1,37,6,12*,57.14
182,1,0,30,20 Mar 2011,stumped,Chennai,1,41,5,22,73.33
183,1,0,8,24 Mar 2011,caught,Ahmedabad,2,19,6,7,87.50
184,2,0,42,30 Mar 2011,lbw,Mohali,1,64,6,25,59.52
185,8,2,79,2 Apr 2011,not out,Mumbai,2,128,5,91*,115.18
186,2,0,36,3 Sep 2011,caught,Chester-le-Street,1,41,7,33,91.66
187,1,0,5,6 Sep 2011,caught,Southampton,1,9,6,6,120.00
188,5,0,103,9 Sep 2011,caught,The Oval,1,142,6,69,66.99
189,6,3,71,11 Sep 2011,not out,Lord's,1,110,6,78*,109.85
190,5,2,26,16 Sep 2011,not out,Cardiff,1,35,6,50*,192.30
191,10,1,70,14 Oct 2011,not out,Hyderabad (Deccan),1,104,6,87*,124.28
192,-,-,-,17 Oct 2011,-,Delhi,2,-,-,DNB,-
193,3,0,31,20 Oct 2011,not out,Mohali,2,53,6,35*,112.90
194,1,1,18,23 Oct 2011,not out,Mumbai,2,-,6,15*,83.33
195,3,4,69,25 Oct 2011,not out,Kolkata,1,103,6,75*,108.69
196,1,0,38,5 Feb 2012,caught,Melbourne,2,61,6,29,76.31
197,1,0,5,8 Feb 2012,caught,Perth,2,6,6,4,80.00
198,0,1,58,12 Feb 2012,not out,Adelaide,2,76,6,44*,75.86
199,3,1,69,14 Feb 2012,not out,Adelaide,2,113,6,58*,84.05
200,2,1,84,19 Feb 2012,caught,Brisbane,2,115,6,56,66.66
201,0,0,49,26 Feb 2012,lbw,Sydney,2,68,6,14,28.57
202,-,-,-,28 Feb 2012,-,Hobart,2,-,-,DNB,-
203,6,1,26,13 Mar 2012,not out,Dhaka,1,38,4,46*,176.92
204,2,0,11,16 Mar 2012,not out,Dhaka,1,20,5,21*,190.90
205,1,0,1,18 Mar 2012,not out,Dhaka,2,4,6,4*,400.00
206,3,1,29,21 Jul 2012,caught,Hambantota,1,49,6,35,120.68
207,2,0,16,24 Jul 2012,caught,Hambantota,1,26,6,11,68.75
208,1,0,49,28 Jul 2012,bowled,Colombo (RPS),2,60,4,31,63.26
209,-,-,-,31 Jul 2012,-,Colombo (RPS),2,-,-,DNB,-
210,8,1,38,4 Aug 2012,caught,Pallekele,1,57,7,58,152.63
211,7,3,125,30 Dec 2012,not out,Chennai,1,177,7,113*,90.40
212,4,1,89,3 Jan 2013,not out,Kolkata,2,121,6,54*,60.67
213,1,3,55,6 Jan 2013,caught,Delhi,1,77,6,36,65.45
214,0,4,25,11 Jan 2013,caught,Rajkot,2,54,6,32,128.00
215,7,2,66,15 Jan 2013,caught,Kochi,1,117,6,72,109.09
216,2,0,12,19 Jan 2013,not out,Ranchi,2,12,5,10*,83.33
217,2,0,21,23 Jan 2013,caught,Mohali,2,49,6,19,90.47
218,2,0,23,27 Jan 2013,lbw,Dharamsala,1,38,6,15,65.21
219,3,0,26,6 Jun 2013,caught,Cardiff,1,42,5,27,103.84
220,-,-,-,11 Jun 2013,-,The Oval,2,-,-,DNB,-
221,-,-,-,15 Jun 2013,-,Birmingham,2,-,-,DNB,-
222,-,-,-,20 Jun 2013,-,Cardiff,2,-,-,DNB,-
223,0,0,4,23 Jun 2013,caught,Birmingham,1,3,6,0,0.00
224,1,0,35,30 Jun 2013,bowled,Kingston,1,66,6,27,77.14
225,5,2,52,11 Jul 2013,not out,Port of Spain,2,98,6,45*,86.53
226,2,0,22,13 Oct 2013,bowled,Pune,2,52,6,19,86.36
227,-,-,-,16 Oct 2013,-,Jaipur,2,-,-,DNB,-
228,12,5,121,19 Oct 2013,not out,Mohali,1,169,6,139*,114.87
229,-,-,-,23 Oct 2013,-,Ranchi,2,-,-,DNB,-
230,2,0,23,30 Oct 2013,not out,Nagpur,2,35,6,25*,108.69
231,7,2,38,2 Nov 2013,run out,Bangalore,1,73,6,62,163.15
232,3,0,7,21 Nov 2013,not out,Kochi,2,14,6,13*,185.71
233,3,4,40,24 Nov 2013,not out,Visakhapatnam,1,61,6,51*,127.50
234,3,0,23,27 Nov 2013,not out,Kanpur,2,48,6,23*,100.00
235,8,1,71,5 Dec 2013,bowled,Johannesburg,2,125,6,65,91.54
236,0,0,31,8 Dec 2013,caught,Durban,2,43,6,19,61.29
237,-,-,-,11 Dec 2013,-,Centurion,-,-,-,TDNB,-
238,2,2,46,19 Jan 2014,caught,Napier,2,72,6,40,86.95
239,7,1,44,22 Jan 2014,caught,Hamilton,2,81,5,56,127.27
240,2,3,60,25 Jan 2014,caught,Auckland,2,79,6,50,83.33
241,6,3,73,28 Jan 2014,not out,Hamilton,1,111,5,79*,108.21
242,3,0,72,31 Jan 2014,caught,Wellington,2,79,6,47,65.27
243,6,0,51,27 Aug 2014,bowled,Cardiff,1,94,6,52,101.96
244,-,-,-,30 Aug 2014,-,Nottingham,2,-,-,DNB,-
245,-,-,-,2 Sep 2014,-,Birmingham,2,-,-,DNB,-
246,1,1,42,5 Sep 2014,caught,Leeds,2,63,6,29,69.04
247,0,0,21,8 Oct 2014,bowled,Kochi,2,37,6,8,38.09
248,5,1,40,11 Oct 2014,not out,Delhi,1,66,6,51*,127.50
249,0,0,5,17 Oct 2014,run out,Dharamsala,1,10,5,6,120.00
250,2,0,31,18 Jan 2015,bowled,Melbourne,1,42,6,19,61.29
251,1,0,61,20 Jan 2015,caught,Brisbane,1,70,6,34,55.73
252,-,-,-,26 Jan 2015,-,Sydney,1,-,-,DNB,-
253,3,0,32,30 Jan 2015,lbw,Perth,1,38,6,17,53.12
254,1,1,13,15 Feb 2015,caught,Adelaide,1,22,5,18,138.46
255,3,0,11,22 Feb 2015,caught,Melbourne,1,22,6,18,163.63
256,-,-,-,28 Feb 2015,-,Perth,2,-,-,DNB,-
257,3,1,56,6 Mar 2015,not out,Perth,2,96,6,45*,80.35
258,-,-,-,10 Mar 2015,-,Hamilton,2,-,-,DNB,-
259,8,2,76,14 Mar 2015,not out,Auckland,2,113,6,85*,111.84
260,0,0,11,19 Mar 2015,caught,Melbourne,1,28,6,6,54.54
261,3,2,65,26 Mar 2015,run out,Sydney,2,94,6,65,100.00
262,0,0,7,18 Jun 2015,caught,Dhaka,2,13,6,5,71.42
263,3,0,75,21 Jun 2015,caught,Dhaka,1,112,4,47,62.66
264,6,1,77,24 Jun 2015,caught,Dhaka,1,112,4,69,89.61
265,1,0,30,11 Oct 2015,caught,Kanpur,2,54,5,31,103.33
266,7,4,86,14 Oct 2015,not out,Indore,1,144,5,92*,106.97
267,5,0,61,18 Oct 2015,caught,Rajkot,2,85,4,47,77.04
268,1,0,16,22 Oct 2015,caught,Chennai,1,28,6,15,93.75
269,3,0,29,25 Oct 2015,bowled,Mumbai,2,50,6,27,93.10
270,1,1,13,12 Jan 2016,caught,Perth,1,18,4,18,138.46
271,0,0,10,15 Jan 2016,caught,Brisbane,1,16,5,11,110.00
272,2,2,9,17 Jan 2016,caught,Melbourne,1,23,5,23,255.55
273,0,0,3,20 Jan 2016,caught,Canberra,2,2,4,0,0.00
274,1,1,42,23 Jan 2016,caught,Sydney,2,64,5,34,80.95
275,-,-,-,11 Jun 2016,-,Harare,2,-,-,DNB,-
276,-,-,-,13 Jun 2016,-,Harare,2,-,-,DNB,-
277,-,-,-,15 Jun 2016,-,Harare,2,-,-,DNB,-
